ExampleID	Class	Start	End	Entity
T155	Protein	18378	18390	alpha-globin
T156	Protein	18566	18578	alpha-globin
T157	Protein	18642	18656	alpha-globin G
T158	Protein	18694	18706	alpha-globin
T159	Protein	18836	18848	alpha-globin
T160	Protein	18989	18990	G
T161	Protein	19019	19031	alpha-globin
T162	Protein	19075	19087	alpha-globin
T163	Protein	19164	19167	Sp1
T164	Protein	19319	19322	Sox
T165	Protein	19847	19855	Sterling
T166	Protein	20211	20214	Sp1
T167	Protein	21522	21525	Sp1
T168	Protein	21773	21776	Sp1
T169	Protein	22103	22106	Sp1
T170	Protein	22996	23001	STAT3
T171	Protein	23088	23093	STAT3
T172	Protein	23095	23145	signal transducer and activator of transcription 3
T173	Protein	23376	23381	STAT3
T174	Protein	23486	23491	STAT3
T175	Protein	23701	23707	GM-CSF
T176	Protein	23713	23750	granulocyte colony-stimulating factor
T177	Protein	23752	23757	G-CSF
T178	Protein	23976	23981	STAT3
T179	Protein	24102	24108	GM-CSF
T180	Protein	24235	24240	G-CSF
T181	Protein	24497	24498	p
T182	Protein	24640	24643	ERK
T183	Protein	24711	24716	STAT3
T184	Protein	24913	24917	RelA
T185	Protein	24918	24921	p65
T186	Protein	24995	25010	I kappa B-alpha
T187	Protein	25012	25017	MAD-3
T188	Protein	25236	25241	NFKB1
T189	Protein	25242	25246	p105
T190	Protein	25249	25254	NFKB2
T191	Protein	25255	25259	p100
T192	Protein	25262	25266	RelA
T193	Protein	25267	25270	p65
T194	Protein	25273	25278	c-rel
T195	Protein	25283	25287	relB
T196	Protein	25402	25407	NFKB2
T197	Protein	25408	25411	p49
T198	Protein	25412	25415	p52
T199	Protein	25438	25442	RelA
T200	Protein	25443	25446	p65
T201	Protein	25589	25594	NFKB2
T202	Protein	25683	25686	p49
T203	Protein	25705	25708	p49
T204	Protein	25709	25712	p65
T205	Protein	25750	25753	p49
T206	Protein	25880	25885	NFKB1
T207	Protein	25886	25889	p50
T208	Protein	25904	25908	p105
T209	Protein	25967	25972	NFKB2
T210	Protein	25973	25976	p49
T211	Protein	25978	25982	RelA
T212	Protein	25983	25986	p65
T213	Protein	26061	26064	p49
T214	Protein	26194	26199	NFKB2
T215	Protein	26200	26203	p49
T216	Protein	26205	26209	RelA
T217	Protein	26210	26213	p65
T218	Protein	26321	26336	I kappa B-alpha
T219	Protein	26337	26342	MAD-3
T220	Protein	26357	26372	I kappa B-alpha
T221	Protein	26373	26378	MAD-3
T222	Protein	26418	26421	p65
T223	Protein	26423	26426	p49
T224	Protein	26427	26430	p65
T225	Protein	26436	26439	p50
T226	Protein	26440	26443	p65
T227	Protein	26474	26479	NFKB2
T228	Protein	26480	26483	p49
T229	Protein	26488	26493	NFKB1
T230	Protein	26494	26497	p50
T231	Protein	26552	26555	p49
T232	Protein	26556	26559	p65
T233	Protein	26649	26654	MAD-3
T234	Protein	26692	26705	Interleukin 2
T235	Protein	26843	26856	interleukin 2
T236	Protein	26858	26862	IL-2
T237	Protein	27000	27004	IL-2
T238	Protein	27074	27078	IL-2
T239	Protein	27156	27161	Jak-1
T240	Protein	27166	27171	Jak-3
T241	Protein	27479	27483	IL-2
T242	Protein	27614	27618	IL-2
T243	Protein	27651	27662	Stat1 alpha
T244	Protein	27664	27674	Stat1 beta
T245	Protein	27680	27685	Stat3
T246	Protein	27728	27731	p94
T247	Protein	27736	27739	p95
T248	Protein	27741	27744	p94
T249	Protein	27749	27752	p95
T250	Protein	27773	27778	Stat1
T251	Protein	27895	27900	Stat1
T252	Protein	28047	28051	IL-2
T253	Protein	28414	28418	CREB
T254	Protein	28556	28560	CREB
T255	Protein	29238	29250	interleukin-
T256	Protein	29291	29295	Jak2
T257	Protein	29447	29465	interleukin (IL)-5
T258	Protein	29531	29535	Jak2
T259	Protein	29568	29572	IL-5
T260	Protein	29604	29610	p21ras
T261	Protein	29676	29681	Raf-1
T262	Protein	29683	29686	MEK
T263	Protein	29790	29794	Jak2
T264	Protein	30005	30009	IL-5
T265	Protein	30075	30080	STAT1
T266	Protein	30099	30103	IL-5
T267	Protein	30215	30219	Jak2
T268	Protein	30222	30227	STAT1
T269	Protein	30248	30253	Pit-1
T270	Protein	30317	30322	Pit-1
T271	Protein	30433	30442	prolactin
T272	Protein	30574	30579	Pit-1
T273	Protein	30586	30591	Pro24
T274	Protein	30611	30617	Arg271
T275	Protein	30725	30750	Latent membrane protein-1
T276	Protein	30759	30768	cyclin D2
T277	Protein	30781	30805	pRb hyperphosphorylation
T278	Protein	30819	30829	TGF-beta 1
T279	Protein	30978	30981	pRb
T280	Protein	30987	30997	G1 cyclins
T281	Protein	31258	31263	LMP-1
T282	Protein	31288	31298	TGF-beta 1
T283	Protein	31385	31395	TGF-beta 1
T284	Protein	31425	31442	TGF-beta receptor
T285	Protein	31607	31617	TGF-beta 1
T286	Protein	31641	31645	junB
T287	Protein	31672	31682	TGF-beta 1
T288	Protein	31719	31722	pRb
T289	Protein	31734	31739	LMP-1
T290	Protein	31820	31823	TGF
T291	Protein	31824	31830	beta 1
T292	Protein	31932	31937	LMP-1
T293	Protein	31976	31985	cyclin D2
T294	Protein	32241	32246	LMP-1
T295	Protein	32259	32262	pRb
T296	Protein	32374	32380	IL-1RA
T297	Protein	32488	32494	IL-1RA
T298	Protein	32538	32544	IL-1RA
T299	Protein	32631	32637	NFIL-6
T300	Protein	32762	32768	IL-1RA
T301	Protein	32795	32801	IL-1RA
T302	Protein	32811	32817	IL-1RA
T303	Protein	32877	32878	3
T304	Protein	33039	33043	NFIL
T305	Protein	33111	33117	IL-1RA
T306	Protein	33252	33258	IL-1RA
T307	Protein	33364	33370	IL-1RA
T308	Protein	33586	33592	IL-1RA
T309	Protein	33638	33644	NFIL-6
T310	Protein	33677	33685	TNFalpha
T311	Protein	33687	33691	IL-6
T312	Protein	33696	33704	IFNgamma
T313	Protein	33765	33771	TSST-1
T314	Protein	33773	33775	GP
T315	Protein	33777	33779	GP
T316	Protein	33790	33792	GP
T317	Protein	33795	33801	TSST-1
T318	Protein	33872	33878	NFIL-6
T319	Protein	33977	33985	TNFalpha
T320	Protein	34021	34025	IL-8
T321	Protein	34061	34065	IL-6
T322	Protein	34136	34138	GP
T323	Protein	34195	34201	TSST-1
T324	Protein	34277	34281	IL-8
T325	Protein	34345	34353	ppaB p65
T326	Protein	34528	34531	p50
T327	Protein	34541	34544	p52
T328	Protein	34677	34685	TNFalpha
T329	Protein	34752	34757	TSST-
T330	Protein	34801	34807	TSST-1
T331	Protein	34811	34813	GP
T332	Protein	34883	34885	GP
T333	Protein	34886	34897	TSST-1 calc
T334	Protein	34923	34934	TSST-1 calc
T335	Protein	34953	34959	TSST-1
T336	Protein	35084	35092	IFNgamma
T337	Protein	35186	35192	NFATc2
T338	Protein	35219	35225	NFATc1
T339	Protein	35619	35624	c-Rel
T340	Protein	35721	35733	NFkappaB p50
T341	Protein	35753	35765	NFkappaB p65
T342	Protein	35783	35795	NFkappaB p52
T343	Protein	35851	35852	c
T344	Protein	35877	35883	NFATc2
T345	Protein	35905	35911	NFATc1
T346	Protein	36583	36586	p50
T347	Protein	36692	36695	p50
T348	Protein	36696	36699	p65
T349	Protein	37087	37090	p50
T350	Protein	37265	37268	p50
T351	Protein	37375	37378	p50
T352	Protein	37556	37559	p50
T353	Protein	37669	37672	p65
T354	Protein	37677	37682	c-Rel
T355	Protein	37719	37722	p65
T356	Protein	37804	37807	p65
T357	Protein	37856	37861	c-Rel
T358	Protein	38076	38079	p50
T359	Protein	38158	38161	p65
T360	Protein	38230	38235	c-Rel
T361	Protein	38375	38380	c-Rel
T362	Protein	39209	39213	TRAP
T363	Protein	39358	39362	TRAP
T364	Protein	39554	39564	calcitonin
T365	Protein	39575	39579	TRAP
T366	Protein	39581	39592	cathepsin K
T367	Protein	39785	39803	Resorption lacunae
T368	Protein	40158	40163	RANKL
T369	Protein	40617	40620	p53
T370	Protein	40851	40854	p53
T371	Protein	40965	40968	p53
T372	Protein	40970	40973	p53
T373	Protein	41105	41106	p
T374	Protein	41139	41164	Latent membrane protein 1
T375	Protein	41237	41240	p53
T376	Protein	41990	42003	interleukin-8
T377	Protein	42005	42009	IL-8
T378	Protein	42100	42127	tumor necrosis factor-alpha
T379	Protein	42129	42138	TNF-alpha
T380	Protein	42141	42150	IL-1 beta
T381	Protein	42152	42156	IL-6
T382	Protein	42158	42162	IL-8
T383	Protein	42164	42212	granulocyte-macrophage colony-stimulating factor
T384	Protein	42214	42220	GM-CSF
T385	Protein	42244	42258	thromboxane A2
T386	Protein	43274	43297	glucocorticoid receptor
T387	Protein	43877	43900	glucocorticoid receptor
T388	Protein	43902	43904	GR
T389	Protein	44134	44136	GR
T390	Protein	44418	44420	GR
T391	Protein	44698	44700	GR
T392	Protein	44880	44903	glucocorticoid receptor
T393	Protein	45159	45163	Sox6
T394	Protein	45903	45915	cluded c-Myc
T395	Protein	45925	45929	Sox6
T396	Protein	46580	46596	glucose polymers
T397	Protein	47169	47177	TNFalpha
T398	Protein	47186	47206	Toll-like receptor 2
T399	Protein	47231	47234	MyD
T400	Protein	47413	47417	beta
T401	Protein	47610	47614	IL-1
T402	Protein	47616	47620	IL-6
T403	Protein	47622	47630	TNFalpha
T404	Protein	47702	47708	IL-1RA
T405	Protein	47718	47722	IL-1
T406	Protein	47894	47914	vascular endothelial
T407	Protein	47929	47933	IL-8
T408	Protein	48315	48332	phosphoinositide-
T409	Protein	48466	48472	beta-1
T410	Protein	48580	48585	beta-
T411	Protein	48733	48738	beta-
T412	Protein	48978	48982	beta
T413	Protein	49116	49122	TSST-1
T414	Protein	49197	49202	beta-
T415	Protein	49252	49260	TNFalpha
T416	Protein	49262	49270	IL-1beta
T417	Protein	49272	49276	IL-6
T418	Protein	49278	49282	IL-8
T419	Protein	49287	49293	IL-1RA
T420	Protein	49319	49327	IFNgamma
T421	Protein	49329	49333	IL-2
T422	Protein	49335	49339	IL-4
T423	Protein	49341	49346	IL-10
T424	Protein	49348	49353	IL-12
T425	Protein	49358	49366	TGFbeta1
T426	Protein	49414	49422	TNFalpha
T427	Protein	49512	49516	IL-8
T428	Protein	49554	49562	IFNgamma
T429	Protein	49600	49606	NFIL-6
T430	Protein	49621	49625	IL-6
T431	Protein	49696	49702	IL-1RA
T432	Protein	49758	49764	IL-1RA
T433	Protein	49877	49883	IL-1RA
T434	Protein	49914	49918	PU.1
T435	Protein	49923	49927	NFIL
T436	Protein	50076	50082	IL-1RA
T437	Protein	50525	50558	intercellular adhesion molecule-1
T438	Protein	50560	50566	ICAM-1
T439	Protein	50827	50833	ICAM-1
T440	Protein	50879	50885	ICAM-1
T441	Protein	50965	50993	tumour necrosis factor-alpha
T442	Protein	50995	51004	TNF-alpha
T443	Protein	51017	51023	ICAM-1
T444	Protein	51315	51324	TNF-alpha
T445	Protein	51404	51427	glucocorticoid receptor
T446	Protein	51614	51617	AML
T447	Protein	51657	51662	Bcl-2
T448	Protein	51670	51678	chimeric
T449	Protein	51685	51690	AML1/
T450	Protein	51690	51693	ETO
T451	Protein	51773	51778	Bcl-2
T452	Protein	51840	51845	AML1/
T453	Protein	51898	51903	Bcl-2
T454	Protein	52009	52014	Bcl-2
T455	Protein	52167	52183	Bcl-2 eventually
T456	Protein	52261	52266	Bcl-2
T457	Protein	52316	52321	AML1/
T458	Protein	52411	52416	G-CSF
T459	Protein	52491	52496	Bcl-2
T460	Protein	52537	52540	AML
T461	Protein	52542	52545	ETO
T462	Protein	52582	52585	SP1
T463	Protein	52969	52971	SP
T464	Protein	53134	53136	45
T465	Protein	53250	53257	caspase
T466	Protein	53309	53312	SP1
T467	Protein	53328	53337	caspase 3
T468	Protein	53339	53344	CPP32
T469	Protein	53349	53356	caspase
T470	Protein	53443	53452	caspase 6
T471	Protein	53620	53623	SP1
T472	Protein	53653	53655	SP
T473	Protein	54038	54047	caspase 3
T474	Protein	54121	54124	SP1
T475	Protein	54307	54316	caspase 3
T476	Protein	54402	54407	IL-17
T477	Protein	54538	54541	CD3
T478	Protein	54991	54998	Taq DNA
T479	Protein	55256	55261	IL-17
T480	Protein	55296	55299	TCA
T481	Protein	55308	55313	IL-17
T482	Protein	55406	55411	GAPDH
T483	Protein	55453	55458	GAPDH
T484	Protein	55574	55581	Norwalk
T485	Protein	55684	55689	GAPDH
T486	Protein	55694	55699	IL-17
T487	Protein	55801	55806	GAPDH
T488	Protein	55811	55816	IL-17
T489	Protein	55971	55976	IL-17
T490	Protein	55994	55999	GAPDH
T491	Protein	56879	56882	VDR
T492	Protein	56884	56886	Sh
T493	Protein	56887	56890	VDR
T494	Protein	56899	56902	VDR
T495	Protein	57199	57202	VDR
T496	Protein	57420	57423	VDR
T497	Protein	57591	57594	VDR
T498	Protein	57862	57865	VDR
T499	Protein	57870	57872	A1
T500	Protein	57873	57876	VDR
T501	Protein	58009	58012	VDR
T502	Protein	58149	58151	A1
T503	Protein	58152	58155	VDR
T504	Protein	58308	58313	c-myc
T505	Protein	58354	58374	granulocyte-monocyte
T506	Protein	58733	58742	Embryonic
T507	Protein	58764	58768	Sox6
T508	Protein	58871	58872	p
T509	Protein	58927	58931	Sox6
T510	Protein	59191	59195	p100
T511	Protein	59632	59637	p100H
T512	Protein	59839	59840	p
T513	Protein	60720	60724	Sox6
T514	Protein	60852	60856	Sox6
T515	Protein	60909	60914	c-Myc
T516	Protein	61129	61133	Sox6
T517	Protein	61235	61263	interleukin-2 receptor alpha
T518	Protein	61268	61273	-beta
T519	Protein	61465	61489	interleukin-2 receptor (
T520	Protein	61545	61547	IL
T521	Protein	61676	61687	IL-2R alpha
T522	Protein	61689	61692	Tac
T523	Protein	61694	61697	p55
T524	Protein	61699	61703	CD25
T525	Protein	61709	61713	beta
T526	Protein	61715	61718	p75
T527	Protein	61802	61820	phytohemagglutinin
T528	Protein	61940	61951	IL-2R alpha
T529	Protein	61975	61985	IL-2R beta
T530	Protein	62091	62102	IL-2R alpha
T531	Protein	62107	62117	IL-2R beta
T532	Protein	62190	62194	IL-2
T533	Protein	62196	62202	rhIL-2
T534	Protein	62267	62278	IL-2R alpha
T535	Protein	62419	62430	IL-2R alpha
T536	Protein	62497	62507	IL-2R beta
T537	Protein	62568	62579	IL-2R alpha
T538	Protein	62645	62648	p50
T539	Protein	62736	62747	IL-2R alpha
T540	Protein	62817	62820	p50
T541	Protein	63094	63098	IL-2
T542	Protein	63613	63616	CD4
T543	Protein	63621	63624	CD8
T544	Protein	63768	63772	IL-2
T545	Protein	63774	63778	IL-6
T546	Protein	63780	63789	INF-gamma
T547	Protein	63890	63893	CD4
T548	Protein	63898	63901	CD8
T549	Protein	64045	64050	Oct-1
T550	Protein	64434	64441	I(kappa
T551	Protein	64567	64570	Tax
T552	Protein	64979	64984	c-Fos
T553	Protein	64986	64991	Fra-1
T554	Protein	64993	64998	c-Jun
T555	Protein	65000	65004	JunB
T556	Protein	65010	65014	JunD
T557	Protein	65049	65054	c-fos
T558	Protein	65134	65138	Tax1
T559	Protein	65207	65211	Tax1
T560	Protein	65265	65270	Fra-1
T561	Protein	65272	65277	c-Jun
T562	Protein	65283	65287	JunD
T563	Protein	65315	65319	Tax1
T564	Protein	65331	65335	Tax1
T565	Protein	65419	65424	Egr-1
T566	Protein	65429	65434	Egr-2
T567	Protein	65459	65463	Tax1
T568	Protein	65607	65611	Tax1
T569	Protein	65699	65705	CD45RA
T570	Protein	65790	65796	CD45RO
T571	Protein	65961	65965	IL-2
T572	Protein	66235	66241	CD45RA
T573	Protein	66255	66261	CD45RO
T574	Protein	66505	66508	p50
T575	Protein	66513	66517	RelA
T576	Protein	66792	66798	CD45RA
T577	Protein	66863	66876	IkappaB alpha
T578	Protein	67353	67364	GC receptor
T579	Protein	68281	68288	GCRbeta
T580	Protein	68570	68577	GCRbeta
T581	Protein	68623	68628	IL-13
T582	Protein	68685	68703	IL-13Ralpha1 chain
T583	Protein	68708	68713	STAT6
T584	Protein	68820	68837	IL-4R alpha chain
T585	Protein	68846	68863	IL-2R gamma chain
T586	Protein	68871	68874	c))
T587	Protein	68890	68903	IL-13R alpha1
T588	Protein	68921	68933	IL-13R alpha
T589	Protein	69108	69111	IL-
T590	Protein	69155	69164	TNF-alpha
T591	Protein	69250	69251	c
T592	Protein	69283	69288	IL-13
T593	Protein	69302	69307	STAT6
T594	Protein	69311	69323	IL-13R alpha
T595	Protein	69376	69389	IL-13R alpha1
T596	Protein	69412	69417	IL-13
T597	Protein	69432	69437	STAT6
T598	Protein	69496	69501	IL-13
T599	Protein	69524	69528	CD23
T600	Protein	69569	69582	IL-13R alpha1
T601	Protein	69610	69615	STAT6
T602	Protein	69631	69636	IL-13
T603	Protein	69722	69734	IL-13R alpha
T604	Protein	69746	69747	c
T605	Protein	69750	69755	IL-13
T606	Protein	70824	70841	annexin V protein
T607	Protein	70853	70878	terminal deoxynucleotidyl
T608	Protein	71543	71548	delta
T609	Protein	71628	71637	delta psi
T610	Protein	71711	71720	delta psi
T611	Protein	71804	71807	PML
T612	Protein	71919	71920	c
T613	Protein	71928	71932	-myc
T614	Protein	71934	71956	retinoblastoma protein
T615	Protein	71958	71983	cyclin-dependent kinase 4
T616	Protein	71985	71994	cyclin D1
T617	Protein	72000	72003	p53
T618	Protein	72357	72362	Stat1
T619	Protein	72374	72379	Stat4
T620	Protein	72394	72399	Stat4
T621	Protein	72514	72519	IL-12
T622	Protein	72524	72528	IL-4
T623	Protein	72609	72612	IL-
T624	Protein	72810	72813	IL-
T625	Protein	72843	72847	IL-4
T626	Protein	72878	72883	IL-12
T627	Protein	72916	72929	IL-12R beta 2
T628	Protein	72942	72951	IFN-gamma
T629	Protein	72970	72979	IFN-alpha
T630	Protein	73010	73023	IL-12R beta 2
T631	Protein	73210	73223	IL-12R beta 1
T632	Protein	73263	73267	IL-4
T633	Protein	73332	73337	IL-12
T634	Protein	73391	73396	Stat4
T635	Protein	73455	73458	IFN
T636	Protein	73492	73497	Stat4
T637	Protein	73534	73539	Stat4
T638	Protein	73592	73597	Stat4
T639	Protein	73605	73614	IFN-gamma
T640	Protein	73659	73664	Stat4
T641	Protein	73840	73846	ICAM-1
T642	Protein	73851	73856	LFA-3
T643	Protein	73860	73864	Tax1
T644	Protein	73939	73945	ICAM-1
T645	Protein	73949	73954	LFA-1
T646	Protein	74088	74094	ICAM-I
T647	Protein	74099	74104	LFA-3
T648	Protein	74186	74192	ICAM-I
T649	Protein	74197	74202	LFA-I
T650	Protein	74387	74393	ICAM-I
T651	Protein	74411	74416	LFA-3
T652	Protein	74420	74424	TaxI
T653	Protein	74531	74537	ICAM-I
T654	Protein	74597	74600	CAT
T655	Protein	74629	74635	ICAM-I
T656	Protein	74712	74718	ICAM-I
T657	Protein	74722	74727	LFA-I
T658	Protein	74767	74773	ICAM-I
T659	Protein	74841	74844	CAT
T660	Protein	74863	74869	ICAM-I
T661	Protein	74960	74969	IFN-gamma
T662	Protein	74995	75001	ICAM-I
T663	Protein	75075	75081	ICAM-I
T664	Protein	75226	75242	LFA-I beta chain
T665	Protein	75244	75248	CD18
T666	Protein	75294	75313	LFA-I alpha chain (
T667	Protein	75363	75366	CAT
T668	Protein	75390	75394	CD18
T669	Protein	75504	75508	CD18
T670	Protein	75531	75537	NF-ATp
T671	Protein	75911	75916	Oct-1
T672	Protein	75921	75926	Oct-2
T673	Protein	75992	75998	NF-ATp
T674	Protein	76092	76098	NF-ATp
T675	Protein	76396	76400	JunD
T676	Protein	76402	76407	c-Fos
T677	Protein	76412	76416	FosB
T678	Protein	76517	76522	c-Jun
T679	Protein	76524	76528	RelA
T680	Protein	76529	76532	p65
T681	Protein	76537	76542	c-Rel
T682	Protein	77023	77029	IL-1RA
T683	Protein	77241	77247	NFIL-6
T684	Protein	77274	77280	TSST-1
T685	Protein	77283	77285	GP
T686	Protein	77288	77290	GP
T687	Protein	77307	77313	TSST-1
T688	Protein	77322	77328	IL-1RA
T689	Protein	77399	77405	NFIL-6
T690	Protein	77429	77437	TNFalpha
T691	Protein	77439	77443	IL-6
T692	Protein	77447	77455	IFNgamma
T693	Protein	77658	77664	IL-1RA
T694	Protein	78046	78052	TSST-1
T695	Protein	78142	78148	TSST-1
T696	Protein	78276	78282	TSST-1
T697	Protein	78286	78288	GP
T698	Protein	78318	78320	GP
T699	Protein	78337	78348	TSST-1 calc
T700	Protein	78468	78470	GP
T701	Protein	78473	78479	TSST-1
T702	Protein	78518	78524	TSST-1
T703	Protein	78698	78704	NFIL-6
T704	Protein	78881	78883	GP
T705	Protein	78886	78892	TSST-1
T706	Protein	78929	78935	NFIL-6
T707	Protein	78960	78966	TSST-1
T708	Protein	79321	79323	GP
T709	Protein	79350	79352	GP
T710	Protein	79355	79361	TSST-1
T711	Protein	79390	79396	TSST-1
T712	Protein	79750	79755	IL-17
T713	Protein	80661	80664	p50
T714	Protein	80666	80669	p65
T715	Protein	80674	80679	c-Rel
T716	Protein	80771	80801	tumor necrosis factor receptor
T717	Protein	81160	81167	TNFRp55
T718	Protein	81525	81530	TNFRp
T719	Protein	81879	81906	Tumor necrosis factor-alpha
T720	Protein	82374	82377	TNF
T721	Protein	82971	82976	c-fos
T722	Protein	83003	83006	TNF
T723	Protein	83088	83092	junB
T724	Protein	83097	83101	junD
T725	Protein	83457	83460	TNF
T726	Protein	83504	83507	CD4
T727	Protein	83538	83549	fibronectin
T728	Protein	83555	83560	VLA-5
T729	Protein	83573	83576	CD4
T730	Protein	83657	83660	CD3
T731	Protein	83681	83684	CD4
T732	Protein	83778	83781	CD4
T733	Protein	83862	83866	CD29
T734	Protein	83901	83906	VLA-5
T735	Protein	83914	83934	fibronectin receptor
T736	Protein	84055	84059	IL-2
T737	Protein	84071	84074	CD4
T738	Protein	84106	84109	CD3
T739	Protein	84115	84126	fibronectin
T740	Protein	84135	84139	IL-2
T741	Protein	84151	84154	CD4
T742	Protein	84213	84217	IL-2
T743	Protein	84258	84269	fibronectin
T744	Protein	84451	84456	VLA-5
T745	Protein	84481	84484	CD4
T746	Protein	84524	84527	CD3
T747	Protein	84590	84601	fibronectin
